text,sentiment
The NVIDIA ION-based Lenovo IdeaPad S12 (  http://is.gd/J6Zy ) is awesome.  Fn key to left of Ctrl makes it non-starter for me though,positive
http://twitpic.com/4jfkw - AFC! Oh yess,positive
 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,positive
seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,negative
yay doctors  now interview then back 2 the doctor`s for blood work,neutral
http://yfrog.com/0guyoj bonfires are my fave!,positive
"played a bit pool with my buddies....going to bed now, have to work tomorrow",neutral
Constructivist learning theory - anybody? Oh wait..... there`s always wikipedia right?!,neutral
" I did do that one Twitter while driving, although the iPhone keypad sucks for driving and typing",negative
 Touch My Hand video = simply amazing.  Love it.,positive
" Yo, what happened to my invite?",neutral
cart path only,neutral
 Yay! Tell her I said congrats,positive
 my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they **** up my order.,negative
 Your peanut butter soup was amazing and so was everything else!  Your soup was just a higher form of amazing,positive
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,neutral
 I`m here if ur here for me!,positive
Sitting here with my baby .. Libby has a fever 101.0  shes fussy,negative
I Want To Go See Up. But I Don`t Want To Go With My Mom And Brother.,negative
hahaha  is SUCH nonsense,negative
_Stokoe I bet! I can imagine how much work it is making a movie. I can`t wait to see it,neutral
I`m all scared and bruised.,negative
Slipped up and caught the flu  feeling like poop!,negative
I`m not looking forward to the crazy commute come with everything that`s going on down here,neutral
Bella doesn`t love me no more,negative
Special chocr makin rounds @ Gourds show,neutral
"The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window.....",negative
Did not feel like getting up,negative
" dude, I can safely say I was blown away when I heard Attics. I`ll make sure I pass it on as much as I can!",positive
_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,positive
"'Thick as pig **** - went to Oxford' - Helena`s (Cantab) friend`s description of me to her boyfriend, yesterday...",negative
I miss the old healthy me and I am loosing faith that I ever will be again,negative
 that plain sux. kinda like cheers goin off the air.,neutral
 it was good. Next time you get oohed you know where to go!,positive
"Aw, not going to Toronto anymore.",negative
 yeah back to work  I get out at 3:30 so it`s not that bad,positive
"  And to you too, how are you today?",neutral
" too early ,,, I`ll spill my corn flakes",neutral
 Oooh... that`s right by the zoo... think... in 2 months` time that could be our regular other meeting place,neutral
"ahhhh, very sad",negative
I want a lie in tomorrow! Won`t be getting one though,neutral
i get a message that my account is suspended as far as i know i haven`t violated any terms contacting twitter now..,negative
"_saurus So did I... and now you can hear it again and again, if you wish.",neutral
 aww  i will keep sending it ;),positive
Cramps . . .,negative
 Am busy yes...But then always am. Hope you had a great time traveling.  Where did you go?  Welcome back!,positive
 yesh and that potato guy is online... but hes not live,neutral
 No Trump casino in Vegas.,neutral
poor bella is in the ER with her first and second ear infection since both ears are infected. Her screams were blood curdling!,negative
"You want ittt, you got ittt!",positive
my arms hurt!,negative
i really wanted to go to surfers today,neutral
"_carter It says 'This video is private.', WTF????",negative
I am beginning to think sun blcok is a haox.,negative
is looking at that person from a very different pov.  never thought i`d see this day arrive!,neutral
 http://twitpic.com/4hsd2 - Weheyyyy   We give thanks for MIDI keyboards,positive
Watching the Pianist with my dad great movie.,positive
"  We are of like minds this evening , my dear!",neutral
"math is all that is left for the day, then the DMV",neutral
How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m` not used to it anymore,neutral
http://twitpic.com/67hvr - This picture is from last year freshman year how I miss thos days,negative
"gawww, why is facebook being so slow?",negative
i`m so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!,negative
" Aye, May the 4th be with you",neutral
Guten Morgen/ Good Morning/,positive
Oww. Can`t even describe how much my back hurts. Going to have to go to the stupid doctor.,negative
Happy Mother`s Day,positive
http://twitpic.com/4ws8w - Look who I brought home,neutral
 thanks alot. Hope you can help spread the word and get people involved. We are already making a real difference,positive
"Mucking about on Guitar Rig 3. The demo, that is",neutral
TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter,neutral
_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative
"If u want to change the fruits, u will first have to change the roots. If u want to change the visible u must first change the invisible",neutral
 Knock You Down is playing now...again!!! Cna my day get any better?? I love it!! How r u? Missed u,neutral
might be at cornerstone this year,neutral
Where can I get nice food for Mam down the Bay that a) is likely to have room for 3 tonight and b) isn`t the mingin` burger kitchen,positive
" Sorry to hear that.  If I didn`t already so much planned this weekend, I`d have considered going too.",negative
morrrning. time for school. (: time to learn!,positive
 it`s Under a Honeymoon by The Good Life,neutral
"Is getting excited for the weekend.......Or, hang on, i am going to be all alone   never mind, excitement lost",neutral
 it`s like 20 bucks for 10 shots  what kind of camera do you have?,neutral
" Thanks. I am greedy, looking for a full fledged widget (a la twitter) so I can like and share from within NV. 2 much to expect?",positive
learnt how to drive a manual on the weekend,neutral
Bacon Fail.  Ended up with a commiseration muffin,negative
this is sooo crazy i have fever..,negative
" at freddies having a cotch and LADYHAWKE is here, just missing you my bajan beauty",negative
sitting in bed thinking,neutral
_of_Twtr Beautiful!,positive
likes the reports from testers of his new package for Synology diskstations  http://plurk.com/p/ror5d,positive
 http://tinyurl.com/c33ffv thats what im making for dinner very yummy,positive
"Christa`s Mothers Day card, deep in the build phase.   - Photo: http://bkite.com/07k6e",neutral
_ ay beezy! finally lol its time to hookah so get off twiiter...love ya,positive
"I just watched 7 pounds, maaaannnnnnnnn!",neutral
Driving home to trade cars  hopefully it makes it! http://myloc.me/21SL,positive
" ouch!! Applied Ec over the summer? And no graduation, then?  *hug*",neutral
"Ok, time for bed. Good night Twitter",positive
 OK!  ~ you are such a wild one - can only imagine this one...,neutral
"after some pizzas, going sleep",neutral
my dad and i totally just rocked out to the offspring-pretty fly for a white guy. haha.,positive
is now going to see his very ill uncle on saturday and the night at his house as even more bad news has come up,negative
 I thought it was a simple one  I found it hilarious.,positive
Omg guys my internet has been down the whole day  It`s still not working  I`ll try fix 2m,negative
 I loved it! You guys are amazing!,positive
"Dragging myself to work, missed my fitness class this morn. Need one more weekend day",negative
 Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.,positive
I had a dream there was some kind of bug on my eye,neutral
" hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you>?",neutral
 drugs are bad,neutral
 Awww thats not fair to me. Now im a lil sad,negative
Kill me now I`m so sick    n it`s Friday night!!,negative
 http://twitpic.com/4fzo7 - When you`ll come in Bulgaria??? You have a great fans here!,positive
It`s a beautiful nice day and I`m stuck inside!,positive
 - JT on SNL tonight.,neutral
 <-- follow my girl meagan,neutral
 You Got Twitter! Yayy  ****,positive
_anke What`s wrong with the ski slopes of MK? They`ve got coffee shops as well y`know!,neutral
This thunder is scaring the hell out of me...geez...I HATE THUNDER  we better not loose electricity... #fb http://myloc.me/2144,negative
My sister got a lunch date and I don`t,neutral
IDIOTat)tux11 That`s cool.  Th*nks for the follow.   (techyuppie) #IDIOT,positive
" I need a hug because our pitching has been lackluster, our shortstops can`t field & Big Papi can`t get above the Mendoza line.",negative
 ur funny  gnight,positive
i just dyed my hair,neutral
 i wanna join the twit Club......,positive
"just got to kansas city and excited for a fun weekend with my family, my sis, parker and josh",positive
A friend is someone who will help you move. A real friend is someone who will help you move a body,positive
 very cool,neutral
just woke up. Happy Mommy`s Day to everyone`s mom and grandma!,positive
_Trainr Thanks for the link.  It made me smile,positive
" but it was kinda funny, sorry. ur still my favorite tho",neutral
" catching up on my tweets, I saw AC`s promo of your new blog before yours, I knew immediately it would be yours by the title",neutral
would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative
puppy I wanted was adopted yesterday  I guess my dogs don`t get a little brother anytime soon. but at least he isn`t in a shelter now,neutral
but I am one in a million,neutral
http://twitpic.com/4w70j - Left: This is your brain. Right: This is your brain on drugs.,neutral
"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me",negative
"man, its weird, Mom`s cooking is giving me so much nutrition but also so much unladylike gas",negative
um... so I don`t think my text msgs have a 'subject line' ... I fail,negative
   _coach   IMHO this soft is the best to keep the chaos straight   http://bit.ly/yuFil,positive
" Katie is my Malamute dog, as for my weight, well I`m about 6ft tall and 73kg, which is quite good",positive
going to look in the refrigerator for a taste snack to eat,positive
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",neutral
 hehe yeah! but too late hun,neutral
 I def will. If anyone leaves the room for a second he has to follow. He`s a really great dog otherwise so far.,positive
My coffee got cold blah!,negative
Aparantly it`s #starwarsday so enjoy  don`t quite know what your Kent to do but be happy anywho!,neutral
Great exercise for a Sunday morning: 'stopping the wheel of karma' (R.A.W.) and transforming negativity into love... Life!,positive
"seriously my parents are non stop  minniapolis, newport for a week, and now this weekend in San Diego  i miss them ",negative
 argh. Interested. Time maybe can`t go. Maybe.,neutral
finally over my sickness.,positive
 i agree with you!,positive
Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood,negative
Going to fold laundry and then hit the sack. I have boring saturday evenings,negative
  Please don`t get me watching BB too,neutral
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  ****!",negative
Having asthma issues today.   BAH!,negative
UP is the saddest movie i`ve ever seen,negative
 yes! My co-workers don`t go to bars with me,neutral
  When are you coming to Indianapolis  !?!?,neutral
@ lovelytrinkets I like the way you worded that about Rocky Road,positive
actually I could do with going to weight watchers,neutral
i need to speak with ! but i left my phone at home,neutral
"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",neutral
Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I <3 it anyway..,neutral
My tummy hurts,negative
 Wish I could be there too!  Enjoy your weekend! ****,positive
 What`s for dinner?,neutral
 I`m looking forward too see and hear you in Norway!! Live fast!,neutral
Heading to the U of Utah hospital. Have a great day everyone,positive
happy mothers day to all..im gonna help mine right now.she deserves it..you guys should too..,positive
I don`t believe there`s anything worse than losing a best friend,negative
got FOXY_ a new brew buddy now my kitchen is gonna smell,negative
 I do that all the time,neutral
 going to sleep? why so early? Good night!,positive
 Chrystina Grace Timberlake has a ring to it!,neutral
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",neutral
 http://twitpic.com/624qo - but a brown snake bit my duck named Elvis  anyway ahaha Elvis is soo cutee!! And so is Nicho ...,positive
really thinks wee callum should of got through last night,neutral
I never thought falling in love can cause so much pain...  good thing that I`m so over that phase!,neutral
Tonight is my last night in my apartment...,neutral
" hey! negative on the primatech, this handle`s been on the tubes for a decade longer than heroes has",negative
The Star Trek movie was amazing! omg everyone has to go see it,positive
My belly is speaking to me! I need food!,neutral
just been in the garden but i was being attacked by bugs so i came inside,neutral
 it was only announced in the last few days. Due to cancer I think,neutral
"Not to thrilled about the marathon this sunday, they assigned me on the street. Less $$$",negative
" i`ve sent a twitter invite to poet friends, i`m hoping they will come poetize, would love 2 see more poets here  #poets",positive
 oh ok kool  keep me informed bout that checked ur paged its nice,positive
I can`t find   hope he didn`t get eaten by anything last night...he jumped off the deck   he just wont stay in safe *sigh*,negative
" go to mid valley la ****  haha! never mind la, i don`t wanna go with you anyways",neutral
is over it.  http://plurk.com/p/rp5np,neutral
"better get to sleep, dodger game/mothers day 2maro  ewl i have to wake up at 8!",neutral
_grl love your new profile pic,positive
: first impression is that it`s considerably  slower to boot than 2008  #beta1,negative
" hahaha im broke, i need money  sighh.",neutral
  i can`t.,neutral
    Ive been dying for those!! They just so expensive in little sizes.,neutral
http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,neutral
taking sad to a whole new level,negative
" YAY!!!!   I have Mark issues, too...you`ll find I have A LOT of issues.   lmao",negative
 i have started saving my Tumblr drafts because that happened to me this week and i was so sad,negative
 That comment was just to ..well you know...to not reply to it.,neutral
loves twitter (Y) 38th post. mwaha  x,positive
I love how simple my Safari toolbar is!  http://twitpic.com/4wssc/full,positive
It is hot here in Texas and our ac upstairs is broken so its really hot at my house.,negative
"Is going to attempt to cook chunky beef & mushroom pie tonight  mmm, i`m hungry already!",neutral
" I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive",neutral
Home from Chelsea`s  Jam sessions = <3 = Chelsea + Abby = I luh you.,positive
Eww its gross here & a lady keeps looking at me weird  ha ha but another smiled & asked me if i was in their company..me in the army? LOL,neutral
" Awww, that`s nice.  You both make a really beautiful couple, you balance each other.",positive
 oh that stinks..,negative
I am at my grandparents place,neutral
Isnt looking forward to going back to work. 3 days off isnt long enough,negative
 gdgd well i better go and get ready for work :| haha have fun tonight  x x,positive
 Thanks very much for the #ff  ! My only one today,positive
"I hate working nights, cos I`m not really able to enjoy this gorgeous weather, as I will be asleep",negative
"i finished new moon  in 1 day all up. maybe less, im quite proud, now who wants to lend me eclipse haha",neutral
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
" Ahh, your baby is so cute! Happy Mother`s Day!",positive
found none,neutral
Hope ur all havin a nice Friday! Been feeling down this past week since my dog`s passing...,neutral
 unless absolutely gorgeous I`d rather men stayed covered up! Have seen sights today to put you off your food.......  #ukpubs,positive
 If you mean backround then.. Settings>design.. scroll to the bottem and click change backround image  & there ya go.,neutral
meeting  and friend tonight - going to discuss human trafficking issues. Daly is chaplain/therapist and an interesting guy,positive
PRD take a long time to review!,neutral
 As long as you take me with you,neutral
i have a feeling today is going to be amazing,positive
 quite all right. **** sounds better than clock coming from a female anyway,positive
" Happy Birthday  I didn`t get you anything, but you have my best wishes.",positive
"_xo   dang it, so its not certain ? ? ? are you okay?",neutral
 Italy or greece for me  Love Italian men hehe ;),positive
 Absolutely ...,neutral
 what!!!????  where are u guys going!?,neutral
SCHOOL IS FINALLY OVER NO MORE TEST OR WORK YES!!!!!!! But im gunna miss alot of ppl,negative
  ack ~ of course i`m a person! but i think  knows that,neutral
 I wish you where going to be in the Saga,neutral
Six feet under theme is on jjj,neutral
 Forget completely abt uploading the assignemtn.   Only remmebered cos of ur twit.,neutral
" Hey!  It`s easy...Just type what you`re doing!  Just like facebook, but much simpler.  Have a good day!",positive
Happy Mother`s Day to all mothers!,positive
Summer is really ending. It`s raining.,neutral
 I hope your mom is ok?,positive
"Up early this morning, first to portmeirion then home",neutral
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
theres nothing worse than working on a friday night and having to wake up at 6 am on a saturday. I want my babe,negative
 lol! y does ur tweet sound like ur voice yelling at me  lol!,neutral
"That poor girl on britains got talent, god love her  forgot the words and cried  but gets a second chance to perform again : ]",positive
 well you scared me saying there may be rustling in the trees!  Happy Sunday to you sir,neutral
hi beautiful! How`s it going?  ,positive
 i guess ill never have it  but the sad thing is that u didn`t put an Alternate e-mail!! cause if u dont remember ur secret,negative
 off to the cheese counter I go! Thanks,positive
"Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!",neutral
Here`s a definition of network neutrality for those who may be interested  http://tinyurl.com/ls4qn,positive
eat it caps.  3-2,neutral
"  Yes thanks, its been great. Soooooo not looking forward to Monday",neutral
"okay, got the card, but my phone is **** up at the moment.  please use email to reach me, sorry",negative
"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",negative
 hey ive seen the musical live its funny lol,positive
 Well I can tell you I didn`t marry my like. Maybe that`s why I`m stuck in situations like I am now,negative
Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.,neutral
 And that`s what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!,positive
"Watching Nemecek go on her computer, fun!  Lol I keed!  Norms was fun",positive
 Where DO you get all those wonderful toys?,positive
Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,negative
" you`re welcome char, glad you liked the cake, it`s pretty simple you should give it a try",positive
 I know... It was just a joke... all in good fun...  some people get my humor & some don`t...,positive
lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,negative
 It was indeed a lovely evening. Over far too quickly  I got home at 1115 in the end. Coffee in bed this morning,positive
Blocked the acct for one of my most hated sports teams. That felt really good.,positive
Ahh ! I just woke up.  forgot to reset my alarm clock.,negative
junk food and movies in a tshirt and sweats.... the only way tonight would be better is if I had someone to hang with,positive
No B2G1 for me.  Trying to save cash for next month`s vacation.,neutral
"neighborhood research today, Day 1 of 5....and a little bit of shopping",neutral
Redskins release Jon Jansen.  That guy put in a ton of sweat and bruises for the team.  He will be missed.    http://tinyurl.com/mdewfk,positive
 what`s follow Friday?? Lol.,neutral
greeting again every momma : Happy Momma`s Day!,positive
Apparently the BIG FEAR over the swine flu has passed.   No seat on the subway for me this morning,neutral
Drinking bud light lime,neutral
" awww, we JUST missed you then!!  But I`ll see you tonight!!",negative
Early monday cramming... yay. Only a few weeks left,neutral
"#3wordsaftersex  Ow, rug burns",neutral
feeling better. drugs are awesome! sad waste of a 3 day weekend!,neutral
" Well there`s you, another Twiiter person...erm...difficult to say really...   Let`s just say that you could fit all into a minibus!",negative
is addicted to the pet society app on facebook,neutral
"riding daddy`s bike (yes a man`s bike, very convenient! NOT) in the dark without glasses on. i was scared  but i survived HAHA",negative
" Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!",negative
not in the mood,negative
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",negative
omg patron is 1ofmy FAVS   im so jealous icant do 10 but i can do 5 so make it 15  so serious im in alabama visitin fam,negative
  They follow me,neutral
 HAHAHAHA...yeah you mess up that crossing and kneeling bit you will get called out...JOKING,negative
daddy is in the hospital  i dont like it!,negative
 tell his people to contact my people,neutral
Good Morning Twitts! Another GloOmy day in NYC!,positive
"_s  Accept it, you can`t do anything, can you?",neutral
i am bored. :| any idea`s of a nice site?,neutral
 Yep still a few seats left for PRACC workshop w/  &  http://bit.ly/txpA6  see you there,neutral
" I want to get all dressed up and go out to, but I to have no one to go with, I`m with you mentor",negative
"slightly burnt challah  The proof is in the eatin`, though...",negative
 thx 4 following  r y a band? What kind of genre that y play? Nice to meet all of y,positive
" aw, sure thing  their in my thoughts and prayers.",neutral
 its cool.  Im glad everyone had a nice date night.  Maybe one day ill get one too.,positive
" yeah well a deadline is in T-9 hours, that`s architecture for you, oh well... mmm that coffee sounds like a good idea",positive
 I`m sorry about your bad driving experiences.,negative
 ok i got you! Knight!,neutral
In Study Hall with Brittneyy!!,neutral
_R_Roberts I LOOK forward to seeing and sharing,positive
 So sorry about all that  praying for you,negative
Britain`s got Torture - Edelcries...,negative
My back hurts...really bad,negative
Been sitting in garden with my mummy and also got a text from the boy who i thought had GOT THE HINT    obviously not.,neutral
Trying to look up Iowa State Fair Art entry information. Hope to get a piece in this year and maybe win something or get noticed.,positive
" Oh, will do. I had to bring the soufflĂŻÂżÂ˝ home I`m SO full!  It`s delicious! One of my Philly favs.",positive
shut up.,negative
Sittin through this boring **** conference call... Then i get to go home n nap *{missin  alot  }*,negative
Can`t sleep....restless mind! Agh,negative
Good morning. Just bought flowers for mothers day and now it`s breakfast time,neutral
 Makes me wish I had dogs instead of cats!,negative
 just bad good leader and delegate it,neutral
Spending Mother`s Day with Mom.,neutral
 clearly need to crack the whip some more,negative
 good morning rob!,positive
I am sitting here taking a little break and trying to recharge so I can continue housework,positive
Finished up cleaning my desk at least. . . office is looking empty. . .almost time to be in the car for 1 1/2!  #fb,neutral
_Pearson,neutral
I`m going to obu for the night.,neutral
doing the andy dance  the one on fonzie gomez show ;) haha,neutral
 I know! I need a new iPhone stat-- I dropped mine on the cement 2 weeks ago and a couple rows of pixels went out,neutral
 just got them- about to read & reply,neutral
Just snuck out my window.. Now im laying on my roof looking at the stars. Its a nice night out tonight.,positive
 loool sheridan ive got swine flu but im still coming into skl tomorrow same way  hehe,neutral
"its really incredibly gross outside, so im hoping to get alot done int he house today!  including pics on the blog! morning friends!",positive
Off to see the Doc in a bit to get the knee checked out,neutral
  thanks bebeisis that is right is your name by any chanve elisabeth???,positive
I ran outta bathroom passes.  maybe mrs. French will be nice today?,neutral
"#SanctuarySunday  it`s our mission to make #Sanctuary a trending topic for the day, lots of people on board for it...join in",positive
Why am I posting so late? Just got back from seeing Star Trek. It was so awesome,positive
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
 haha me tooooo! I miss you I havnt seen you in ages,negative
I want a burrito but I still have 30 more minutes of work,neutral
@_erica /hugs those are the worst. Mine used to be really bad on the first day..sometimes can`t even get out of bed.,negative
Listening to The Man Who Cant Be Moved <3 I just love the connection with GW  Doing Dutch and might do some art later.,positive
 Happy birthday in 2 hours and 54 minuets  Haha,positive
 I was just thinking that,neutral
_127 glad you got a laugh out of it,positive
my phone is dead  this sucks,negative
Chemistry is not fun..,negative
 Yay to being smokefree! Well done.,positive
whohoo!  Erin just got accepted to Ottawa U nursing school at the Algonquin Pembroke campus.  I just may get my girl back,positive
 briliant! May the fourth be with you  #starwarsday #starwars,positive
 thanks! Will check next time I`m in Target. It`s over an hour away,neutral
 word?? ima be there this summer....just move back with me  lol,neutral
"I`ve been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad.",neutral
seriously. increasingly good nights. stoked on life! couldn`t be happier  #goodnight,positive
 why do you think so?,neutral
_Hayes I`m at sharkeez!,neutral
Still not asleep. Ahhh  Wtf?!,negative
" sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x",negative
Why is looking for girls names easier than looking for boys,neutral
This economy thing is getting us down. I stay positive mostly but sometimes it really gets to me. Hoping Todd gets work soon.,neutral
" Oh, I see what you mean. That is true if they are used improperly, which we know they are.",neutral
missin my bro..,negative
so so tired..,neutral
my car is possessed and won`t stop honking at me,negative
my puppy is sick,negative
Didn`t get to hang out with kaitlyn.,neutral
 nick`s voice still makes me wanna kill things,negative
"on my way to get some Maggie Moos Peanut Butter Galaxy, then home! thank god this week is done. 4 meetings in 1 day!!!!",positive
Last song .. then I really have to go  ? http://blip.fm/~5jbvo,neutral
 It is! Wish there was one in our area.,positive
"_Ross if you look at the js code in facebook you will notice a few js functions...nahh just kidding, a buddy told me",positive
http://twitpic.com/665jw The racoons ate our bread!,negative
" Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG",neutral
 lOL 518 that was not the year i was born  lol,neutral
" don`t you just love the 'butteflies in your stomach' feeling?  ano man yun, kaya mo yan.",positive
Studying for my exams....boring,negative
 HAPPY MOTHERS DAY VICKY!!!! AND TO ALL THE OTHER MOTHERS WHO READ THIS!!!,positive
Oh goody - It`s Doctor Who! Hooray for IPTV,neutral
Just got my dress for my friends wedding. Its a little tight in places. Gotta work out more,neutral
" yes, at an upgraded consumption rate, too",neutral
No tourney `til next weekend =   http://bit.ly/2xDPf,neutral
Off to the bank,neutral
" yw, it gets really hot there in the middle of the summer like 110+ but right now its perfect! and less then an hour away.",positive
"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",negative
", I`d love it if you haven`t had any takers yet",neutral
 I know  My bro asked if I shaked my fists and now own 6 cats. Will have to make up for last night this weekend when I`m in Philly.,neutral
Ugh I don`t feel well again all of a sudden,negative
" well donkey has his own appeal, for sure.",neutral
a bit worried...,negative
I lost count   sorry I let u down...,negative
 it is! ive done somethign like 200 updates today :S,neutral
Almost dun choreographing the dance,neutral
 I left mine in music...i think i don`t have a camera anymore,neutral
Just banged my bloody foot! ow,negative
